condition_id,scene_id,inflation_mm,engine,threshold_category_mm,direction_count
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,physx,14,0
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,physx,16,0
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,physx,18,0
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,physx,20,0
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,physx,22,0
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,physx,24,0
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,physx,26,0
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,physx,28,0
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,physx,30,0
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,physx,32,2
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,physx,34,4
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,physx,36,2
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,physx,38,3
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,physx,40,2
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,physx,42,2
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,physx,44,2
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,physx,46,3
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,physx,48,1
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,physx,50,1
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,physx,52,3
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,physx,54,1
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,physx,56,0
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,physx,58,1
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,physx,60,2
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,physx,>60,99
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,curobo,2,0
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,curobo,4,0
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,curobo,6,0
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,curobo,8,0
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,curobo,10,0
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,curobo,12,0
