attempt_id,phase,round_id,execution_position,position_within_round,condition_id,scene_id,inflation_mm,planning_success,failure_reason,planning_reported_solve_time_s,planning_reported_total_time_s,measured_wall_time_s,trajectory_shape,trajectory_finite,maximum_absolute_joint_difference_rad,mean_absolute_joint_difference_rad,trajectory_length_rad,frozen_trajectory_length_rad,trajectory_length_difference_rad,exact_frozen_trajectory_match,tolerance_frozen_trajectory_match_1e_7_rad,status,error
round_04__position_12__multiscene_candidate_005__inflation_010mm,measured,4,72,12,multiscene_candidate_005__inflation_010mm,multiscene_candidate_005,10,True,,0.02635862350463867,0.03700940704345703,0.03745678199629765,"[41,7]",True,0.0,0.0,0.9485982656478882,0.9485982656478882,0.0,True,True,completed,
round_04__position_13__multiscene_candidate_005__inflation_015mm,measured,4,73,13,multiscene_candidate_005__inflation_015mm,multiscene_candidate_005,15,True,,0.02644441604614258,0.03678915023803711,0.03729910199763253,"[41,7]",True,0.0,0.0,0.9550252556800842,0.9550252556800842,0.0,True,True,completed,
round_04__position_14__multiscene_candidate_005__inflation_020mm,measured,4,74,14,multiscene_candidate_005__inflation_020mm,multiscene_candidate_005,20,True,,0.02717075157165527,0.03594863891601562,0.03637218200310599,"[41,7]",True,0.0,0.0,0.9647320508956909,0.9647320508956909,0.0,True,True,completed,
round_04__position_15__multiscene_candidate_006__inflation_000mm,measured,4,75,15,multiscene_candidate_006__inflation_000mm,multiscene_candidate_006,0,True,,0.026186719894409183,0.034852863311767575,0.03527387700160034,"[41,7]",True,0.0,0.0,0.9438737630844116,0.9438737630844116,0.0,True,True,completed,
round_04__position_16__multiscene_candidate_006__inflation_005mm,measured,4,76,16,multiscene_candidate_006__inflation_005mm,multiscene_candidate_006,5,True,,0.025625280380249024,0.03529747009277344,0.03583723899646429,"[41,7]",True,0.0,0.0,0.9442387819290161,0.9442387819290161,0.0,True,True,completed,
round_04__position_17__multiscene_candidate_006__inflation_010mm,measured,4,77,17,multiscene_candidate_006__inflation_010mm,multiscene_candidate_006,10,True,,0.026580960273742675,0.03529548645019531,0.035710532996745314,"[41,7]",True,0.0,0.0,0.9451422691345215,0.9451422691345215,0.0,True,True,completed,
round_04__position_18__multiscene_candidate_006__inflation_015mm,measured,4,78,18,multiscene_candidate_006__inflation_015mm,multiscene_candidate_006,15,True,,0.02526342391967773,0.03385868835449219,0.034268315001099836,"[41,7]",True,0.0,0.0,0.9466080665588379,0.9466080665588379,0.0,True,True,completed,
round_04__position_19__multiscene_candidate_006__inflation_020mm,measured,4,79,19,multiscene_candidate_006__inflation_020mm,multiscene_candidate_006,20,True,,0.02569638347625732,0.034105342864990236,0.034511334997660015,"[41,7]",True,0.0,0.0,0.9485822916030884,0.9485822916030884,0.0,True,True,completed,
round_04__position_20__formal_baseline_v1__inflation_000mm,measured,4,80,20,formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,True,,0.025812704086303706,0.034372161865234375,0.0347756820046925,"[41,7]",True,0.0,0.0,0.9438674449920654,0.9438674449920654,0.0,True,True,completed,
round_05__position_01__multiscene_candidate_001__inflation_015mm,measured,5,81,1,multiscene_candidate_001__inflation_015mm,multiscene_candidate_001,15,True,,0.02642198371887207,0.03556371307373047,0.03598745099588996,"[41,7]",True,0.0,0.0,0.9460299015045166,0.9460299015045166,0.0,True,True,completed,
