attempt_id,round_id,execution_position,condition_id,scene_id,inflation_mm,planning_success,trajectory_shape,trajectory_finite,maximum_absolute_joint_difference_rad,mean_absolute_joint_difference_rad,trajectory_length_rad,frozen_trajectory_length_rad,trajectory_length_difference_rad,exact_frozen_trajectory_match,tolerance_frozen_trajectory_match_1e_7_rad
round_05__position_13__formal_baseline_v1__inflation_000mm,5,93,formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,True,"[41,7]",True,0.0,0.0,0.9438674449920654,0.9438674449920654,0.0,True,True
round_05__position_14__formal_baseline_v1__inflation_005mm,5,94,formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,True,"[41,7]",True,0.0,0.0,0.9439100027084351,0.9439100027084351,0.0,True,True
round_05__position_15__formal_baseline_v1__inflation_010mm,5,95,formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,True,"[41,7]",True,0.0,0.0,0.9444064497947693,0.9444064497947693,0.0,True,True
round_05__position_16__formal_baseline_v1__inflation_015mm,5,96,formal_baseline_v1__inflation_015mm,formal_baseline_v1,15,True,"[41,7]",True,0.0,0.0,0.9454147815704346,0.9454147815704346,0.0,True,True
round_05__position_17__formal_baseline_v1__inflation_020mm,5,97,formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,True,"[41,7]",True,0.0,0.0,0.9469339847564697,0.9469339847564697,0.0,True,True
round_05__position_18__multiscene_candidate_001__inflation_000mm,5,98,multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,True,"[41,7]",True,0.0,0.0,0.9438675045967102,0.9438675045967102,0.0,True,True
round_05__position_19__multiscene_candidate_001__inflation_005mm,5,99,multiscene_candidate_001__inflation_005mm,multiscene_candidate_001,5,True,"[41,7]",True,0.0,0.0,0.9440393447875977,0.9440393447875977,0.0,True,True
round_05__position_20__multiscene_candidate_001__inflation_010mm,5,100,multiscene_candidate_001__inflation_010mm,multiscene_candidate_001,10,True,"[41,7]",True,0.0,0.0,0.9447669386863708,0.9447669386863708,0.0,True,True
round_06__position_01__multiscene_candidate_006__inflation_000mm,6,101,multiscene_candidate_006__inflation_000mm,multiscene_candidate_006,0,True,"[41,7]",True,0.0,0.0,0.9438737630844116,0.9438737630844116,0.0,True,True
round_06__position_02__multiscene_candidate_006__inflation_005mm,6,102,multiscene_candidate_006__inflation_005mm,multiscene_candidate_006,5,True,"[41,7]",True,0.0,0.0,0.9442387819290161,0.9442387819290161,0.0,True,True
